X/Z, -50, -49, -48, -47, -46, -45, -44, -43, -42, -41, -40, -39, -38, -37, -36, -35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 
-40, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-39, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-38, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-37, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-36, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-35, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-34, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-33, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-32, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-31, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-30, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-29, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-28, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-27, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-26, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-25, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-24, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-23, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-22, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-21, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-20, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-19, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-18, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-17, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
-16, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-2, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -1-1, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -12, 
